id,conversation_id,customer_message,conversation_context,intent,expected_decision,expected_escalation_reason,reference_reply,difficulty,annotation_notes,label_status
36,1095173,Hey @AppleSupport why is my iPhone8+ home/lock screen sucking down my battery?  Just started this AM.,,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,We can take a look at this drainage concern with you. Can you let us know the full iOS version installed?,EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
37,2137297,I thought this X battery life was supposed to be solid? Had it almost a week and gotta bring my charger w me already smh..,,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,Let's look into that. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
38,1580474,"When the phone is idle, the battery drains very fast. Maybe its coz of background running apps, bt it never happened in the previous version",We're here to help out. Do you notice this behavior with specific apps or all? Charge with the original power cable?,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,"We're here to help! To start, could you tell us your exact device model and iOS version? Have you tried restarting your device?",EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
39,215364,Hey @115858 your new update has killed my phone if it’s battery life. Come on.,,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,We want to help. Which iOS version is your device currently running? You can locate this under Settings > General > About.,EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
40,338175,Nice that my mother in law bought a brand new ipad pro and the charging cord included was bad had to buy a new one.,,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,We'd like to hear more about this experience. Please DM us. https://t.co/GDrqU22YpT,EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
41,2676621,"Slower + more glitchy, battery lasts about half as long + phone randomly cuts off, the ear speaker is now 2 - 3 lower volume, list goes on..",That's not the experience we want you have with iOS 11. What kind of issues are you having? Follow us to DM and we'll get started. https://t.co/GDrqU22YpT,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,Understood. Which exact version of iOS 11 is your iPhone using? Let's go into DM so we can investigate this further and get these issues sorted. Click on the following link to continue. https://t.co/GDrqU22YpT,EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
42,1886702,WTF is happening to my battery life after my latest update!!! WOW way to make me buy a different handset?? FFS 🙈🙈,,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,Let's work on getting your device working like it should. Can you DM us what you are experiencing and the device you're using? https://t.co/GDrqU22YpT,HARD,Multi-intent or ambiguous context; requires careful boundary handling.,HUMAN_VERIFIED
43,1639034,"All apps keep crashing, both phone and apps running far slower than before, battery running down faster. The thing barely works now.",What kind of issues are you having with the iOS update? We'd love to help out.,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,"Do you know what version of the iOS is on the device?  If not, you can check under Settings > General > About > Version.",EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
44,284069,the new iOS update has killed battery life. It is midday and I’m already at 30% on an iPhone 7 - most of the time on standby,,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,We know battery life is important. We want to help. Which device are you using? Which iOS 11 version is installed now?,HARD,Multi-intent or ambiguous context; requires careful boundary handling.,HUMAN_VERIFIED
45,2847503,I Did The Most Recent Updates And My Battery Life Is Just Crap What’s Up With That ? 🤷🏽‍♀️,,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,"We understand the concern regarding battery life and we're here to help. Are you referring to update iOS 11.1.2? If so, do you recall when you updated?",HARD,Multi-intent or ambiguous context; requires careful boundary handling.,HUMAN_VERIFIED
46,2212992,Your iOS 11 update made my tablets non mobile.  2 tablets that could hold a charge for hours now don’t last 90 minutes. Fix this!,Say hello to the future. Order iPhone X.,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,Thanks for reaching out. We'd like to know more to assist with the battery issues you're experiencing. Send us a DM using the link below and we'll continue. https://t.co/GDrqU22YpT,EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
47,621801,I think my Mac is broken and needs fixing ASAP,,HARDWARE_PHYSICAL_DAMAGE,ESCALATE,"Physical hardware damage requires in-person store inspection, hardware diagnostic tools, or Genius Bar repair appointment.",Tell us a bit about what's going on with your Mac. We'd like to offer any assistance we can.,EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
48,1434372,"No, it's not broken. 5S @115858",Which iPhone model are you using? Is the lock button physically broken? DM the answer below. https://t.co/GDrqU22YpT,HARDWARE_PHYSICAL_DAMAGE,ESCALATE,"Physical hardware damage requires in-person store inspection, hardware diagnostic tools, or Genius Bar repair appointment.",Got it. Can you DM your complete software version number from Settings > General > About? https://t.co/GDrqU22YpT,HARD,Multi-intent or ambiguous context; requires careful boundary handling.,HUMAN_VERIFIED
49,1475438,why are the i’s broken? @AppleSupport,,HARDWARE_PHYSICAL_DAMAGE,ESCALATE,"Physical hardware damage requires in-person store inspection, hardware diagnostic tools, or Genius Bar repair appointment.",We're here for you. DM us the version of the iOS you're running using the link below to get started. https://t.co/GDrqU22YpT,HARD,Multi-intent or ambiguous context; requires careful boundary handling.,HUMAN_VERIFIED
50,2207439,my laptop is broken 😰 and i need it for school tomorrow HELP  @115858,,HARDWARE_PHYSICAL_DAMAGE,ESCALATE,"Physical hardware damage requires in-person store inspection, hardware diagnostic tools, or Genius Bar repair appointment.",We can help. Can you tell us what you're experiencing?,EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
51,98873,My iPhone screen is broken @AppleSupport,,HARDWARE_PHYSICAL_DAMAGE,ESCALATE,"Physical hardware damage requires in-person store inspection, hardware diagnostic tools, or Genius Bar repair appointment.",We are here to help. DM us your current country and we can take a look at this. https://t.co/GDrqU22YpT,EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
52,2849163,Very disappointing Genius Bar app today. Faulty speaker on my phone and want to charge £50 ish. Phones is 6 wks ish over warranty. Yet I’ve been trying to book in for 8 weeks but can’t get app to suite my diary till today. #timeforasamsungafter10yearswithyou,,HARDWARE_PHYSICAL_DAMAGE,ESCALATE,"Physical hardware damage requires in-person store inspection, hardware diagnostic tools, or Genius Bar repair appointment.",Thank you for reaching out to us. We'd like to take a closer look into this with you. DM us when the first time you contacted Apple about this issue. https://t.co/GDrqU22YpT,MEDIUM,"Requires entity extraction, typo tolerance, or escalation verification.",HUMAN_VERIFIED
53,2253456,my 8 month old MacBook Pro w Touch Bar now has a broken space   bar. It barely worked for the last month and now it's fallen off. Apparently this is a common problem. Thanks @115858 @AppleSupport,,HARDWARE_PHYSICAL_DAMAGE,ESCALATE,"Physical hardware damage requires in-person store inspection, hardware diagnostic tools, or Genius Bar repair appointment.",We're happy to look into your service options. Please let us know in DM the country you're located in and we'll get started. https://t.co/GDrqU22YpT,MEDIUM,"Requires entity extraction, typo tolerance, or escalation verification.",HUMAN_VERIFIED
54,884966,Such a bummer that the coolest feature in @115858 OSX was the ability to see CURRENT iMessages.  Very sad that High Sierra has broken this. https://t.co/eckj4rZqVc,,HARDWARE_PHYSICAL_DAMAGE,ESCALATE,"Physical hardware damage requires in-person store inspection, hardware diagnostic tools, or Genius Bar repair appointment.","We’d love to help. To start, please send us a DM to continue. https://t.co/GDrqU22YpT",HARD,Multi-intent or ambiguous context; requires careful boundary handling.,HUMAN_VERIFIED
55,826638,My iPad that is kept in a drawer all day and is used for reading looks like it has a hair... in the screen? Did it crack?! How?! @115858 #ugh,,HARDWARE_PHYSICAL_DAMAGE,ESCALATE,"Physical hardware damage requires in-person store inspection, hardware diagnostic tools, or Genius Bar repair appointment.",Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
56,2774452,would u PLEASE restore auto play of multiple episodes of podcasts.  Y y y did u remove this feature?  I’m a runner n like 2 listen 2 @775384 on my long runs. I don’t have time 2 mke a playlist.  This wasn’t broken but now it is!,,HARDWARE_PHYSICAL_DAMAGE,ESCALATE,"Physical hardware damage requires in-person store inspection, hardware diagnostic tools, or Genius Bar repair appointment.",You can listen continuously with Up Next. Follow the steps here to add the episodes: https://t.co/ZbrBX1dzZl,MEDIUM,"Requires entity extraction, typo tolerance, or escalation verification.",HUMAN_VERIFIED
57,1527761,why is the I️ button broken on my phone for the last three days I️ pay so much money for this shit I️ am so triggered explain,,HARDWARE_PHYSICAL_DAMAGE,ESCALATE,"Physical hardware damage requires in-person store inspection, hardware diagnostic tools, or Genius Bar repair appointment.",We are here to help. DM us your exact iOS version and we can take a look at this. https://t.co/GDrqU22YpT,EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
58,2585603,"My iPhone will not turn on, please help! No water damage it just stopped working!",,HARDWARE_PHYSICAL_DAMAGE,ESCALATE,"Physical hardware damage requires in-person store inspection, hardware diagnostic tools, or Genius Bar repair appointment.","We're here for you. Let's try the steps in this article to start: https://t.co/8MvHMFZ83h

DM us using the link below if the issue persists afterward. https://t.co/GDrqU22YpT",EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
59,2888482,i was setting up the face id on my iphone x and my screen cracked like wtf @115858,,HARDWARE_PHYSICAL_DAMAGE,ESCALATE,"Physical hardware damage requires in-person store inspection, hardware diagnostic tools, or Genius Bar repair appointment.",That's not the type of experience that we'd like for you to have with your phone. We'd like to look into this with you. Join us in DM and provide us with your location. Click here: https://t.co/GDrqU22YpT,EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
60,2271698,.@115858 what the hell is the point of an appointment at the genius bar if I have to wait an hour to be ignored?,,HARDWARE_PHYSICAL_DAMAGE,ESCALATE,"Physical hardware damage requires in-person store inspection, hardware diagnostic tools, or Genius Bar repair appointment.",Let's take a look at what's going on together. Send us a DM with more information to get started. https://t.co/GDrqU22YpT,EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
61,1919541,"I love how broken iOS 11 is (11.0.3). Songs double up on shuffle,and even loops between a three or four songs. @115858 FIX IT NOW!!!",,HARDWARE_PHYSICAL_DAMAGE,ESCALATE,"Physical hardware damage requires in-person store inspection, hardware diagnostic tools, or Genius Bar repair appointment.","We want to make sure we keep your music playing, on the right track. Meet us in DM and we'd be more than happy to help you. https://t.co/GDrqU22YpT",EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
62,2177388,The built-in keyboard on my MacBook has broken. Can I pair the computer with a Magic Keyboard and still use it?,,HARDWARE_PHYSICAL_DAMAGE,ESCALATE,"Physical hardware damage requires in-person store inspection, hardware diagnostic tools, or Genius Bar repair appointment.","That's definitely a possibility. You can verify device compatibility and learn how to set them up with this article: https://t.co/rPmEAzoMKE

We can also look at helping with your MacBook's keyboard. What exactly is going on with it? Are keys not responding?",EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
63,2008839,you guys really messed up with this update. Feels like I’m using a Motorola Razor with water damage.  I️ have to reset my phone 24/7.,,HARDWARE_PHYSICAL_DAMAGE,ESCALATE,"Physical hardware damage requires in-person store inspection, hardware diagnostic tools, or Genius Bar repair appointment.",Let's work on this together. Do you mean you're restarting your iPhone? Give us more details in DM and we'll get started. https://t.co/GDrqU22YpT,EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
64,631824,"why is the Genius Bar always fucking full, my shits broken, HELP ME!!!!!!!",,HARDWARE_PHYSICAL_DAMAGE,ESCALATE,"Physical hardware damage requires in-person store inspection, hardware diagnostic tools, or Genius Bar repair appointment.",We're happy to look into some options for you. DM us and tell us more about what's happening with your device. https://t.co/GDrqU22YpT,EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
65,2018456,"my phone is broken. Pls send me a new one for free since your products are specifically designed not the last. 

-Management",,HARDWARE_PHYSICAL_DAMAGE,ESCALATE,"Physical hardware damage requires in-person store inspection, hardware diagnostic tools, or Genius Bar repair appointment.","If you're device isn't working as expected, we can help. Go ahead and DM us and let us know what's going on with it. https://t.co/GDrqU22YpT",MEDIUM,"Requires entity extraction, typo tolerance, or escalation verification.",HUMAN_VERIFIED
66,521336,Booked a Genius Bar appt in advance. Waited 25 minutes and still no help.,,HARDWARE_PHYSICAL_DAMAGE,ESCALATE,"Physical hardware damage requires in-person store inspection, hardware diagnostic tools, or Genius Bar repair appointment.",That's not the experience we want you to have as a valued Apple customer. DM us the details of your issue and we'll look into this for you: https://t.co/GDrqU2kzhr,EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
67,2921506,Can #Apple explain why my Apple ID isn’t showing @AppleSupport,,ACCOUNT_ACCESS_SECURITY,ESCALATE,"Account access, security lockouts, and identity verification require secure authentication via iforgot.apple.com or human security advisor.",We'll be happy to assist. Can you tell us more about what's going on?,MEDIUM,"Requires entity extraction, typo tolerance, or escalation verification.",HUMAN_VERIFIED
68,1539991,"please unlock my phone, this two factor authentication is killing me!",,ACCOUNT_ACCESS_SECURITY,ESCALATE,"Account access, security lockouts, and identity verification require secure authentication via iforgot.apple.com or human security advisor.",We'd like to help. Tell us a bit about what's happening when you try to unlock your iPhone in DM. https://t.co/GDrqU22YpT,MEDIUM,"Requires entity extraction, typo tolerance, or escalation verification.",HUMAN_VERIFIED
